pattern,title,difficulty,link,video
Two Pointers,2 Sum,easy,https://leetcode.com/problems/two-sum/,
Two Pointers,Merge 2 sorted List,easy,https://leetcode.com/problems/merge-two-sorted-lists/,
Two Pointers,Squares of a Sorted Array,easy,https://leetcode.com/problems/squares-of-a-sorted-array/,
Two Pointers,3 Sum,medium,https://leetcode.com/problems/3sum/,
Two Pointers,Sort Colors,medium,https://leetcode.com/problems/sort-colors/,
Two Pointers,Container With Most Water,medium,https://leetcode.com/problems/container-with-most-water/,
Two Pointers,Minimum window Sort,medium,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,
Two Pointers,Trapping Rain Water,hard,https://leetcode.com/problems/trapping-rain-water/,
Sliding Window,Minimum Size Subarray Sum,medium,https://leetcode.com/problems/minimum-size-subarray-sum/description/ ,
Sliding Window,Permutation in String,medium,https://leetcode.com/problems/permutation-in-string/,
Sliding Window,Longest Substring Without Repeating Characters,medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/,
Sliding Window,Fruit Into Baskets,medium,https://leetcode.com/problems/fruit-into-baskets/,
Sliding Window,Minimum Window Substring,hard,https://leetcode.com/problems/minimum-window-substring/,
Sliding Window,Sliding Window Maximum,hard,https://leetcode.com/problems/sliding-window-maximum/ ,
